model,params,epochs_run,train_time_s,latency_ms,est_total_inf_min,macro_auc,n_classes_eval,aves_auc,amphibia_auc,insecta_auc,mammalia_auc
baseline_cnn,123530,7,413.8,11.0,1.5,0.5425,30,0.5415,0.7308,0.2154,0.6567
bigger_cnn,616234,8,20505.4,15.2,2.1,0.6293,30,0.5958,0.672,0.5602,0.8033
mobilenetv3_small,1074138,4,185.4,31.1,4.4,0.5034,30,0.5299,0.3937,0.6267,0.5433
efficientnet_b0,4349325,5,802.3,38.4,5.4,0.4746,30,0.4237,0.6805,0.251,0.38
crnn_lstm,2253962,8,678.0,45.1,6.3,0.6597,30,0.5289,0.7417,0.6832,0.78
crnn_gru,1721738,9,765.2,48.4,6.8,0.6257,30,0.5129,0.7365,0.5534,0.8333
